pep_id,Author,BDFL-Delegate,Created,Created_dt,Discussions-To,Last-Modified,PEP,Post-History,Python-Version,Replaces,Requires,Resolution,Sponsor,Status,Superseded-By,Title,Type,Version
0394,"Kerrick Staley <mail at kerrickstaley.com>,
Nick Coghlan <ncoghlan at gmail.com>,
Barry Warsaw <barry at python.org>,
Petr Viktorin <encukou at gmail.com>",,02-Mar-2011,2011-03-02 00:00:00,,,394,"04-Mar-2011, 20-Jul-2011, 16-Feb-2012, 30-Sep-2014, 28-Apr-2018",,,,https//mail.python.org/pipermail/python-dev/2012-February/116594.html,,Active,,"The ""python"" Command on Unix-Like Systems",Informational,
3100,Brett Cannon <brett at python.org>,,20-Aug-2004,2004-08-20 00:00:00,,,3100,,,,,,,Final,,Miscellaneous Python 3.0 Plans,Process,
0579,Jeroen Demeyer <J.Demeyer at UGent.be>,Petr Viktorin,04-Jun-2018,2018-06-04 00:00:00,,,579,20-Jun-2018,,,,,,Draft,,Refactoring C functions and methods,Informational,
8011,"Mariatta Wijaya <mariatta at python.org>, Barry Warsaw <barry at python.org>",,2018-08-24,2018-08-24 00:00:00,,,8011,,,,,,,Rejected,,Python Governance Model Lead by Trio of Pythonistas,Informational,
0219,gmcm at hypernet.com (Gordon McMillan),,14-Aug-2000,2000-08-14 00:00:00,,,219,,2.1,,,,,Deferred,,Stackless Python,Standards Track,
0231,barry at python.org (Barry Warsaw),,30-Nov-2000,2000-11-30 00:00:00,,,231,,2.1,,,,,Rejected,,__findattr__(),Standards Track,
0296,xscottg at yahoo.com (Scott Gilbert),,12-Jul-2002,2002-07-12 00:00:00,,,296,,2.3,,,,,Withdrawn,,Adding a bytes Object Type,Standards Track,
3139,Benjamin Peterson <benjamin at python.org>,,4-April-2008,2008-04-04 00:00:00,,,3139,,3.0,,,,,Rejected,,"Cleaning out sys and the ""interpreter"" module",Standards Track,
0332,Skip Montanaro <skip at pobox.com>,,11-Aug-2004,2004-08-11 00:00:00,,,332,,2.5,,,,,Rejected,,Byte vectors and String/Unicode Unification,Standards Track,
0427,Daniel Holth <dholth at gmail.com>,Nick Coghlan <ncoghlan at gmail.com>,20-Sep-2012,2012-09-20 00:00:00,<distutils-sig at python.org>,,427,"18-Oct-2012, 15-Feb-2013",,,,https//mail.python.org/pipermail/python-dev/2013-February/124103.html,,Final,,The Wheel Binary Package Format 1.0,Standards Track,
0527,Donald Stufft <donald at stufft.io>,Nick Coghlan <ncoghlan at gmail.com>,23-Aug-2016,2016-08-23 00:00:00,distutils-sig at python.org,,527,23-Aug-2016,,,,https//mail.python.org/pipermail/distutils-sig/2016-September/029624.html,,Accepted,,Removing Un(der)used file types/extensions on PyPI,Process,
0216,moshez at zadka.site.co.il (Moshe Zadka),,31-Jul-2000,2000-07-31 00:00:00,,,216,,,,,,,Rejected,287,Docstring Format,Informational,
0438,"Holger Krekel <holger at merlinux.eu>, Carl Meyer <carl at oddbird.net>",Richard Jones <richard at python.org>,15-Mar-2013,2013-03-15 00:00:00,distutils-sig at python.org,,438,19-May-2013,,,,https//mail.python.org/pipermail/distutils-sig/2013-May/020773.html,,Superseded,470,Transitioning to release-file hosting on PyPI,Process,
0539,"Erik M. Bray, Masayuki Yamamoto",Nick Coghlan,20-Dec-2016,2016-12-20 00:00:00,,,539,"16-Dec-2016, 31-Aug-2017, 08-Sep-2017",3.7,,,https//mail.python.org/pipermail/python-dev/2017-September/149358.html,,Final,,A New C-API for Thread-Local Storage in CPython,Standards Track,
0422,"Nick Coghlan <ncoghlan at gmail.com>,
Daniel Urban <urban.dani+py at gmail.com>",,5-Jun-2012,2012-06-05 00:00:00,,,422,"5-Jun-2012, 10-Feb-2013",3.5,,,,,Withdrawn,,Simpler customisation of class creation,Standards Track,
3124,Phillip J. Eby <pje at telecommunity.com>,,28-Apr-2007,2007-04-28 00:00:00,Python 3000 List <python-3000 at python.org>,,3124,30-Apr-2007,,245 246,3107 3115 3119,,,Deferred,,"Overloading, Generic Functions, Interfaces, and Adaptation",Standards Track,
0245,Michel Pelletier <michel at users.sourceforge.net>,,11-Jan-2001,2001-01-11 00:00:00,http//www.zope.org/Wikis/Interfaces,,245,21-Mar-2001,2.2,,,,,Rejected,,Python Interface Syntax,Standards Track,
0004,"Brett Cannon <brett at python.org>, Martin von Löwis <martin at v.loewis.de>",,1-Oct-2000,2000-10-01 00:00:00,,,4,,,,,,,Active,,Deprecation of Standard Modules,Process,
0407,"Antoine Pitrou <solipsis at pitrou.net>,
Georg Brandl <georg at python.org>,
Barry Warsaw <barry at python.org>",,2012-01-12,2012-01-12 00:00:00,,,407,17-Jan-2012,,,,TBD,,Deferred,,New release cycle and introducing long-term support versions,Process,
0575,Jeroen Demeyer <J.Demeyer at UGent.be>,,27-Mar-2018,2018-03-27 00:00:00,,,575,"31-Mar-2018, 12-Apr-2018, 27-Apr-2018, 5-May-2018",3.8,,,,,Withdrawn,,Unifying function/method classes,Standards Track,
0279,python at rcn.com (Raymond Hettinger),,30-Jan-2002,2002-01-30 00:00:00,,,279,,2.3,,,,,Final,,The enumerate() built-in function,Standards Track,
0451,Eric Snow <ericsnowcurrently at gmail.com>,"Brett Cannon <brett at python.org>, Nick Coghlan <ncoghlan at gmail.com>",8-Aug-2013,2013-08-08 00:00:00,import-sig at python.org,,451,"8-Aug-2013, 28-Aug-2013, 18-Sep-2013, 24-Sep-2013, 4-Oct-2013",3.4,,,https//mail.python.org/pipermail/python-dev/2013-November/130104.html,,Final,,A ModuleSpec Type for the Import System,Standards Track,
0404,Barry Warsaw <barry at python.org>,,2011-11-09,2011-11-09 00:00:00,,,404,,2.8,,,,,Final,,Python 2.8 Un-release Schedule,Informational,
0393,Martin v. Löwis <martin at v.loewis.de>,,24-Jan-2010,2010-01-24 00:00:00,,,393,,3.3,,,,,Final,,Flexible String Representation,Standards Track,
0374,"Brett Cannon <brett at python.org>,
Stephen J. Turnbull <stephen at xemacs.org>,
Alexandre Vassalotti <alexandre at peadrop.com>,
Barry Warsaw <barry at python.org>,
Dirkjan Ochtman <dirkjan at ochtman.nl>",,07-Nov-2008,2008-11-07 00:00:00,,,374,"07-Nov-2008
22-Jan-2009",,,,,,Final,,Choosing a distributed VCS for the Python project,Process,
0448,Joshua Landau <joshua at landau.ws>,,29-Jun-2013,2013-06-29 00:00:00,python-ideas at python.org,,448,,3.5,,,,,Final,,Additional Unpacking Generalizations,Standards Track,
0269,jriehl at spaceship.com (Jonathan Riehl),,24-Aug-2001,2001-08-24 00:00:00,,,269,,2.2,,,,,Deferred,,Pgen Module for Python,Standards Track,
0520,Eric Snow <ericsnowcurrently at gmail.com>,,7-Jun-2016,2016-06-07 00:00:00,,,520,"7-Jun-2016, 11-Jun-2016, 20-Jun-2016, 24-Jun-2016",3.6,,,https//mail.python.org/pipermail/python-dev/2016-June/145442.html,,Final,,Preserving Class Attribute Definition Order,Standards Track,
0464,Donald Stufft <donald at stufft.io>,Richard Jones <richard at python.org>,02-Mar-2014,2014-03-02 00:00:00,distutils-sig at python.org,,464,04-Mar-2014,,381,,https//mail.python.org/pipermail/distutils-sig/2014-March/024027.html,,Final,,Removal of the PyPI Mirror Authenticity API,Process,
0801,Barry Warsaw <barry at python.org>,,21-Jun-2018,2018-06-21 00:00:00,,,801,,,,,,,Draft,,Reserved,Informational,
0250,p.f.moore at gmail.com (Paul Moore),,30-Mar-2001,2001-03-30 00:00:00,,,250,30-Mar-2001,2.2,,,,,Final,,Using site-packages on Windows,Standards Track,
0322,Raymond Hettinger <python at rcn.com>,,24-Sep-2003,2003-09-24 00:00:00,,,322,24-Sep-2003,2.4,,,,,Final,,Reverse Iteration,Standards Track,
0001,"Barry Warsaw, Jeremy Hylton, David Goodger, Nick Coghlan",,13-Jun-2000,2000-06-13 00:00:00,,,1,"21-Mar-2001, 29-Jul-2002, 03-May-2003, 05-May-2012,
07-Apr-2013",,,,,,Active,,PEP Purpose and Guidelines,Process,
